year_grade,book,chapter_num,chapter_name,section_num,section_name
8,1,1,地理：基本概念與臺灣,101,位置、地圖與座標系統我的位置在哪裡？
8,1,1,地理：基本概念與臺灣,102,位置、地圖與座標系統絕對位置對日常生活有哪些影響？
8,1,1,地理：基本概念與臺灣,201,位置對臺灣的影響臺灣的位置如何表示？
8,1,1,地理：基本概念與臺灣,202,位置對臺灣的影響位置對臺灣帶來哪些影響？
8,1,1,地理：基本概念與臺灣,301,臺灣的地形臺灣地形的樣貌為何？
8,1,1,地理：基本概念與臺灣,302,臺灣的地形如何表現一地的地形？
8,1,1,地理：基本概念與臺灣,303,臺灣的地形如何適度利用土地資源？
8,1,1,地理：基本概念與臺灣,401,臺灣的海域臺灣的海岸如何利用？
8,1,1,地理：基本概念與臺灣,402,臺灣的海域臺灣的海域利用現況如何？
8,1,1,地理：基本概念與臺灣,501,臺灣的氣候今天的天氣如何？
8,1,1,地理：基本概念與臺灣,502,臺灣的氣候臺灣的氣候有什麼特色？
8,1,1,地理：基本概念與臺灣,601,臺灣的水文臺灣的水資源夠用嗎？
8,1,1,地理：基本概念與臺灣,602,臺灣的水文如何充分利用水資源？
8,1,2,歷史：臺灣的歷史(上),101,史前文化與原住民族從考古認識史前文化
8,1,2,歷史：臺灣的歷史(上),102,史前文化與原住民族臺灣原住民族的傳說與遷徙
8,1,2,歷史：臺灣的歷史(上),201,大航海時代各方勢力在臺灣東亞海上貿易的發展
8,1,2,歷史：臺灣的歷史(上),202,大航海時代各方勢力在臺灣各方勢力在臺的競爭
8,1,2,歷史：臺灣的歷史(上),301,大航海時代臺灣原住民與外來者原住民與歐洲人的互動
8,1,2,歷史：臺灣的歷史(上),302,大航海時代臺灣原住民與外來者原住民與鄭氏政權的互動
8,1,2,歷史：臺灣的歷史(上),401,清帝國時期的行政治理初期的治臺政策
8,1,2,歷史：臺灣的歷史(上),402,清帝國時期的行政治理行政區劃演變
8,1,2,歷史：臺灣的歷史(上),403,清帝國時期的行政治理對外事件與施政改革
8,1,2,歷史：臺灣的歷史(上),501,清帝國時期的農商發展農業發展
8,1,2,歷史：臺灣的歷史(上),502,清帝國時期的農商發展臺灣與中國的貿易活動
8,1,2,歷史：臺灣的歷史(上),503,清帝國時期的農商發展開港後的變遷
8,1,2,歷史：臺灣的歷史(上),601,清帝國時期的社會與文化變動的移民社會
8,1,2,歷史：臺灣的歷史(上),602,清帝國時期的社會與文化西方文化的再傳入
8,1,2,歷史：臺灣的歷史(上),603,清帝國時期的社會與文化原住民社會文化的變遷
8,1,3,公民與社會：融入群體的個人生活,101,人性尊嚴與人權保障什麼是人性尊嚴？
8,1,3,公民與社會：融入群體的個人生活,102,人性尊嚴與人權保障為什麼保障人權與維護人性尊嚴有關？
8,1,3,公民與社會：融入群體的個人生活,103,人性尊嚴與人權保障如何保障人權以維護人性尊嚴？
8,1,3,公民與社會：融入群體的個人生活,201,公平正義下的性別平等為何會產生性別不平等的現象？
8,1,3,公民與社會：融入群體的個人生活,202,公平正義下的性別平等如何檢視公不公平？
8,1,3,公民與社會：融入群體的個人生活,203,公平正義下的性別平等如何促進性別平等？
8,1,3,公民與社會：融入群體的個人生活,301,我們都是一家人法律如何規範親屬關係？
8,1,3,公民與社會：融入群體的個人生活,302,我們都是一家人家庭型態為何產生轉變？
8,1,3,公民與社會：融入群體的個人生活,303,我們都是一家人家庭功能如何改變？
8,1,3,公民與社會：融入群體的個人生活,401,家庭協奏曲家人親密關係如何維持？
8,1,3,公民與社會：融入群體的個人生活,402,家庭協奏曲政府如何協助建立平權家庭？
8,1,3,公民與社會：融入群體的個人生活,403,家庭協奏曲政府如何協助家庭發揮功能？
8,1,3,公民與社會：融入群體的個人生活,501,校園生活中的公共參與為什麼我們要到學校？
8,1,3,公民與社會：融入群體的個人生活,502,校園生活中的公共參與我們在學校有哪些權利與責任？
8,1,3,公民與社會：融入群體的個人生活,503,校園生活中的公共參與學生如何參與校園公共事務？
8,1,3,公民與社會：融入群體的個人生活,601,我住故我在●社區與部落社區參與的重要性為何？
8,1,3,公民與社會：融入群體的個人生活,602,我住故我在●社區與部落部落的意義與重要性為何？
8,1,3,公民與社會：融入群體的個人生活,603,我住故我在●社區與部落部落如何因應危機與挑戰？
8,2,1,地理：基本概念與臺灣,101,臺灣的人口成長與分布臺灣的人口如何變動？
8,2,1,地理：基本概念與臺灣,102,臺灣的人口成長與分布人口為什麼會遷移？
8,2,1,地理：基本概念與臺灣,103,臺灣的人口成長與分布臺灣的人口分布有何特徵？
8,2,1,地理：基本概念與臺灣,201,臺灣的人口組成與多元族群什麼是人口組成？
8,2,1,地理：基本概念與臺灣,202,臺灣的人口組成與多元族群臺灣近年有哪些重要的人口議題？
8,2,1,地理：基本概念與臺灣,203,臺灣的人口組成與多元族群臺灣多元族群的文化特色是什麼？
8,2,1,地理：基本概念與臺灣,301,臺灣的第一級產業臺灣的產業結構是怎麼轉變的？
8,2,1,地理：基本概念與臺灣,302,臺灣的第一級產業第一級產業臺灣的農業發展有哪些特色？
8,2,1,地理：基本概念與臺灣,303,臺灣的第一級產業第一級產業臺灣的漁業和畜牧業發展有什麼特色？
8,2,1,地理：基本概念與臺灣,401,臺灣的第二、三級產業工廠要蓋在哪裡比較好？
8,2,1,地理：基本概念與臺灣,402,臺灣的第二、三級產業臺灣的工業發展有哪些特色？
8,2,1,地理：基本概念與臺灣,403,臺灣的第二、三級產業臺灣的國際貿易有什麼特色？
8,2,1,地理：基本概念與臺灣,501,臺灣的聚落類型與交通網絡鄉村和都市有什麼差異？
8,2,1,地理：基本概念與臺灣,502,臺灣的聚落類型與交通網絡來去都市？怎麼去？
8,2,1,地理：基本概念與臺灣,503,臺灣的聚落類型與交通網絡來到都市會看到什麼現象？
8,2,1,地理：基本概念與臺灣,601,臺灣的區域發展與差異六都具有哪些特色？
8,2,1,地理：基本概念與臺灣,602,臺灣的區域發展與差異北、中、南、東各區域有什麼特色？
8,2,1,地理：基本概念與臺灣,603,臺灣的區域發展與差異臺灣區域間有哪些差異？
8,51,1,地理：基本概念與臺灣,100,位置、地圖與座標系統
8,51,1,地理：基本概念與臺灣,200,位置對臺灣的影響
8,51,1,地理：基本概念與臺灣,300,臺灣的地形
8,51,1,地理：基本概念與臺灣,400,臺灣的海域
8,51,1,地理：基本概念與臺灣,500,臺灣的氣候
8,51,1,地理：基本概念與臺灣,600,臺灣的水文
8,51,2,歷史：臺灣的歷史(上),100,史前文化與原住民族
8,51,2,歷史：臺灣的歷史(上),200,大航海時代各方勢力在臺灣
8,51,2,歷史：臺灣的歷史(上),300,大航海時代臺灣原住民與外來者
8,51,2,歷史：臺灣的歷史(上),400,清帝國時期的行政治理
8,51,2,歷史：臺灣的歷史(上),500,清帝國時期的農商發展
8,51,2,歷史：臺灣的歷史(上),600,清帝國時期的社會與文化
8,51,3,公民與社會：融入群體的個人生活,100,人性尊嚴與人權保障
8,51,3,公民與社會：融入群體的個人生活,200,公平正義下的性別平等
8,51,3,公民與社會：融入群體的個人生活,300,我們都是一家人
8,51,3,公民與社會：融入群體的個人生活,400,家庭協奏曲
8,51,3,公民與社會：融入群體的個人生活,500,校園生活中的公共參與
8,51,3,公民與社會：融入群體的個人生活,600,我住故我在●社區與部落
8,52,1,地理：基本概念與臺灣,100,臺灣的人口成長與分布
9,3,1,地理：區域特色,101,中國的自然環境與傳統維生方式中國的自然環境有何特徵？
9,3,1,地理：區域特色,102,中國的自然環境與傳統維生方式傳統中國的維生方式有何特徵？
9,3,1,地理：區域特色,201,中國的人口成長與文化遷移中國如何養育眾多的人口？
9,3,1,地理：區域特色,202,中國的人口成長與文化遷移中國人口有哪些特徵？
9,3,1,地理：區域特色,301,中國的工業發展與地區差異中國工業發展的條件為何？
9,3,1,地理：區域特色,302,中國的工業發展與地區差異中國的經濟核心在哪裡？
9,3,1,地理：區域特色,401,中國的經濟發展與全球關連中國如何從世界工廠變成世界市場？
9,3,1,地理：區域特色,402,中國的經濟發展與全球關連中國與全球有什麼關連？
9,3,1,地理：區域特色,501,東北亞的自然環境東北亞的自然環境有何特色？
9,3,1,地理：區域特色,502,東北亞的自然環境環境如何影響日、韓的文化特色？
9,3,1,地理：區域特色,601,東北亞的經濟發展日本的產業發展有何特色？
9,3,1,地理：區域特色,602,東北亞的經濟發展朝鮮半島的產業發展有何特色？
9,3,2,歷史：中國與東亞(上),101,商周至隋唐的國家與社會從封建到帝國
9,3,2,歷史：中國與東亞(上),102,商周至隋唐的國家與社會帝國政權的維繫
9,3,2,歷史：中國與東亞(上),201,商周至隋唐的民族與文化商周至隋唐的民族互動
9,3,2,歷史：中國與東亞(上),202,商周至隋唐的民族與文化民族互動下的文化交流
9,3,2,歷史：中國與東亞(上),301,宋元時期的民族互動遼宋金的國際互動
9,3,2,歷史：中國與東亞(上),302,宋元時期的民族互動蒙古的崛起與擴張
9,3,2,歷史：中國與東亞(上),303,宋元時期的民族互動商貿與文化交流
9,3,2,歷史：中國與東亞(上),401,明清帝國與天朝體制明清時期的東亞世界
9,3,2,歷史：中國與東亞(上),402,明清帝國與天朝體制商貿活動的發展
9,3,2,歷史：中國與東亞(上),403,明清帝國與天朝體制東西文化的交流與影響
9,3,2,歷史：中國與東亞(上),501,西力衝擊下的晚清變革晚清以來的東西方接觸
9,3,2,歷史：中國與東亞(上),502,西力衝擊下的晚清變革甲午戰爭後的政治改革
9,3,2,歷史：中國與東亞(上),601,晚清的社會文化變遷城市新風貌
9,3,2,歷史：中國與東亞(上),602,晚清的社會文化變遷家族與婦女角色的變化
9,3,3,公民與社會：民主國家的公民參與,101,國家與民主政治國家是如何形成的？
9,3,3,公民與社會：民主國家的公民參與,102,國家與民主政治國家與政府的關係為何？
9,3,3,公民與社會：民主國家的公民參與,103,國家與民主政治民主政治具備哪些特色？
9,3,3,公民與社會：民主國家的公民參與,201,政府與權力分立人治與法治的差異為何？
9,3,3,公民與社會：民主國家的公民參與,202,政府與權力分立權力與權利有何差別與關聯？
9,3,3,公民與社會：民主國家的公民參與,203,政府與權力分立為何民主國家的政府須符合分權制衡？
9,3,3,公民與社會：民主國家的公民參與,301,我國的中央政府我國的中央政府如何組成？
9,3,3,公民與社會：民主國家的公民參與,302,我國的中央政府我國中央政府各權力間是如何互動的？
9,3,3,公民與社會：民主國家的公民參與,401,我國的地方政府為何要有地方政府與地方自治？
9,3,3,公民與社會：民主國家的公民參與,402,我國的地方政府我國的地方政府如何組成？
9,3,3,公民與社會：民主國家的公民參與,501,民主國家中的公共意見公共意見是如何形成的？
9,3,3,公民與社會：民主國家的公民參與,502,民主國家中的公共意見公共意見有什麼特性？
9,3,3,公民與社會：民主國家的公民參與,503,民主國家中的公共意見利益團體與政黨如何反映公共意見？
9,3,3,公民與社會：民主國家的公民參與,601,民主社會的政治參與及投票為什麼政治參與很重要？
9,3,3,公民與社會：民主國家的公民參與,602,民主社會的政治參與及投票為何常用投票作為重要的參與形式？
9,3,3,公民與社會：民主國家的公民參與,603,民主社會的政治參與及投票我國投票過程中如何落實公平？
9,4,1,地理：區域特色,101,東南亞東南亞的景觀為何如此多元？
9,4,1,地理：區域特色,102,東南亞東南亞的經濟如何崛起？
9,4,1,地理：區域特色,201,南亞南亞的環境為何特殊？
9,4,1,地理：區域特色,202,亞南亞如何提升經濟競爭力？
9,4,1,地理：區域特色,301,西亞與北非的自然環境與文化世界如何分區？
9,4,1,地理：區域特色,302,西亞與北非的自然環境與文化乾燥氣候影響了什麼？
9,4,1,地理：區域特色,401,動盪的西亞與北非多元文化之間如何互動？
9,4,1,地理：區域特色,402,動盪的西亞與北非西亞與北非為何紛爭不斷？
9,4,1,地理：區域特色,501,漠南非洲的自然環境與傳統文化漠南非洲的自然環境有何特色？
9,4,1,地理：區域特色,502,漠南非洲的自然環境與傳統文化漠南非洲傳統的維生活動與文化特色為何？
