num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points,section_summary
6,8,第三冊,2,認識物質,2,溶液,溶液性質、溶液種類、濃度、飽和溶液、溶解度,溶液 是 均勻混合物，包含 溶質和 溶劑。水可溶解 固體、液體、氣體，但某些物質需 非水溶劑（如丙酮） 來溶解。溶液為 物理變化，可用 蒸餾、結晶等方法分離，且無固定熔點或沸點。溶液種類 包括 固態、液態、氣態。濃度 可用 體積百分率（如酒精濃度 45%） 或 重量百分率 來表示。飽和溶液 是指溶解達到極限。溶解度定義為每一百克戎既可溶解幾克的溶質， 受 溫度、壓力 影響，高溫增加固體溶解度，低溫增加氣體溶解度。壓力大時氣體溶解度上升，壓力小時氣體溶解度下降。
7,8,第三冊,2,認識物質,3,空氣的組成與性質,空氣的組成、收集氣體方法、氧氣製備、二氧化碳製備,空氣是混合物，主要成分為 氮氣 (78%) 和 氧氣 (21%)，還含有其他氣體。氮氣 無色無臭，穩定性高，可用於 食品保鮮、燈泡填充。氧氣 有助燃性，供 生物呼吸與燃燒。二氧化碳 可滅火，檢驗方法為 澄清石灰水變白。氣體可用 排水集氣法、向上排氣法、向下排氣法 收集。氧氣可由雙氧水分解製備，二氧化碳可由鹽酸與大理石反應製備。
8,8,第三冊,3,波動與聲音,1,波的傳播,波的性質、波的種類、波的名詞、波的公式,波動是能量傳遞的現象，但介質本身不會隨波移動。力學波 需介質，如 水波、聲波；非力學波 不需介質，如 光波、電波。橫波 振動方向與波前進方向垂直（如繩波），縱波 則平行（如聲波）。波的特性包含 波峰、波谷、波長、振幅、週期、頻率、波速，波速公式：v = fλ（波速 = 頻率 × 波長）。振幅越大能量越高，頻率越高波長越短。
9,8,第三冊,3,波動與聲音,2,聲音,聲波的構成、聲波的性質,聲音由 振動產生，需 介質（固體、液體、氣體） 傳播，為 縱波。固體傳聲最快，氣體最慢，在真空中無法傳播。聲音速率受 溫度、溼度、風速 影響，溫度越高傳聲越快。波以耳電鈴實驗 證明聲音需介質傳播，當空氣被抽出成真空，聲音消失。聲音高低與傳播速率無關，水中也能傳聲，水上芭蕾選手可聽音樂起舞。
10,8,第三冊,3,波動與聲音,3,回聲和超聲波,反射、回聲的性質、超聲波、聲波的應用,聲波遇障礙物會反射，遵守 反射定律（入射角=反射角），名詞：法線、入射線、反射線、入射角是入射線和法線的夾角、反射角，振幅減小但頻率不變。回聲 是反射回來的聲音，應用於 聲納、倒車雷達，但過多回聲會導致聲音混雜，可用 吸音板、傾斜天花板 減少干擾。超聲波（>20000Hz） 可探測 海底、潛水艇、醫學檢測，蝙蝠和狗能感知超聲波。超聲波具 高頻率、短波長、方向性強，可穿透物質並用於 清潔、探測與診斷。
11,8,第三冊,3,波動與聲音,4,聲音的變化,樂音、樂音三要素、樂器、聲波的共振,樂音是樂器規律振動產生的聲音，分為 管樂、弦樂、打擊樂。聲音三要素：響度（振幅決定，單位為分貝）、音調（頻率決定，單位為 Hz）、音色（波形決定）。弦樂器 弦越細、短、緊，音調越高；管樂器 管越短，音調越高。共振 發生於頻率相同物體，可增強聲音響度，如樂器共振箱、耳膜振動。
12,8,第三冊,4,光學,1,光的直線前進,光的特性、光的傳播、直進性、針孔成像、光速,光是電磁波，可在 真空中傳播，速率為 3×10⁸ m/s，比聲速快。光在 真空 > 氣體 > 液體 > 固體，進入密度較高介質時速率變慢。光沿 直線傳播，遇障礙物會形成 影子，應用於 日晷、日蝕、月蝕。針孔成像 上下顛倒、左右相反的實像，針孔越小影像越清晰。雷聲比閃電慢，是光速快於聲速的例證。可逆性
13,8,第三冊,4,光學,2,反射與面鏡,反射定律、平面鏡的成像、凹面鏡、凸面鏡,光遇介面改變方向稱 反射，遵守 反射定律（入射角=反射角）。單向反射 發生於光滑面，如 平面鏡，漫射 使物體可見。平面鏡成像為正立、等大、左右相反的虛像，且物距=像距。凹面鏡 聚光，可形成實像或虛像，應用於 探照燈、太陽爐。凸面鏡 發散光，僅形成縮小正立虛像，應用於 後照鏡、轉彎反光鏡。面鏡利用反射，透鏡則利用折射原理成像。
14,8,第三冊,4,光學,3,折射與透鏡,光速的變化、折射定律、凸透鏡、凹透鏡,魚看鳥變高，鳥看魚變淺。光進入不同介質時速率改變，導致 折射。光在 真空 > 氣體 > 液體 > 固體，速度快 → 慢時折射線 向法線偏折，反之則 遠離法線。常見現象如 水中筷子變折、海市蜃樓。光頻率不變，僅波長改變。透鏡分為凸透鏡（會聚）與凹透鏡（發散）。凸透鏡 可形成 實像或虛像，應用於 放大鏡、眼鏡、投影機。凹透鏡 只能產生 縮小正立虛像，應用於 近視眼鏡。實像倒立、虛像正立，成像特性取決於物體距離焦點的位置。
15,8,第三冊,4,光學,4,光學儀器,放大鏡成像、顯微鏡成像、相機成像、眼睛成像,放大鏡 是 凸透鏡，物體在焦點內形成 放大、正立、虛像。顯微鏡 利用 物鏡與目鏡的兩次折射，產生 放大、倒立、虛像。照相機 以 凸透鏡成縮小、倒立實像，透過調整鏡頭焦距對焦。眼睛 以 水晶體（凸透鏡） 成像於視網膜。近視因焦距過短（眼球過長），配戴凹透鏡矯正；遠視因焦距過長（眼球過短），配戴凸透鏡矯正。
